Card,Set ID,Set Name,Quantity,Foil
"Jhoira, Weatherlight Captain",DOM,Dominaria,1,""
Jodah's Avenger,PLC,Planar Chaos,1,FOIL
"Judith, the Scourge Diva",RNA,Ravnica Allegiance,1,""
Justiciar's Portal,RNA,Ravnica Allegiance,1,FOIL
Knight Exemplar,PRM-MED,Media Promos,1,FOIL
Ledev Champion,GRN,Guilds of Ravnica,1,FOIL
Llanowar Envoy,DOM,Dominaria,1,FOIL
Looming Altisaur,XLN,Ixalan,1,FOIL
Magistrate's Scepter,M19,Core Set 2019,1,FOIL
Market Festival,JOU,Journey into Nyx,1,FOIL
Mighty Leap,M19,Core Set 2019,1,FOIL
Ministrant of Obligation,RNA,Ravnica Allegiance,1,""
Ministrant of Obligation,RNA,Ravnica Allegiance,1,FOIL
Mogg Flunkies,A25,Masters 25,1,FOIL
Moment of Triumph,RIX,Rivals of Ixalan,3,FOIL
Mountain,DOM,Dominaria,1,FOIL
"Multani, Yavimaya's Avatar",DOM,Dominaria,1,""
"Naru Meha, Master Wizard",DOM,Dominaria,1,""
"Nicol Bolas, the Arisen",M19,Core Set 2019,1,FOIL
Novice Knight,M19,Core Set 2019,1,FOIL
Orcish Vandal,DOM,Dominaria,1,FOIL
Orzhov Enforcer,RNA,Ravnica Allegiance,1,""
Orzhov Racketeers,RNA,Ravnica Allegiance,1,""
Pilfered Plans,DGM,Dragon's Maze,1,FOIL
Pitiless Pontiff,RNA,Ravnica Allegiance,2,""
Pteramander,RNA,Ravnica Allegiance,2,""
Quasiduplicate,GRN,Guilds of Ravnica,1,FOIL
Rally to Battle,RNA,Ravnica Allegiance,1,""
Rampage of the Clans,RNA,Ravnica Allegiance,1,""
Regenesis,RNA,Ravnica Allegiance,1,""
Resolute Watchdog,RNA,Ravnica Allegiance,1,""
Resplendent Angel,M19,Core Set 2019,1,""
Revival // Revenge,RNA,Ravnica Allegiance,1,""
Rix Maadi Reveler,RNA,Ravnica Allegiance,1,""
Rumbling Ruin,RNA,Ravnica Allegiance,1,""
Rustwing Falcon,M19,Core Set 2019,1,FOIL
Saruli Caretaker,RNA,Ravnica Allegiance,1,""
Sauroform Hybrid,RNA,Ravnica Allegiance,2,""
Scrabbling Claws,RNA,Ravnica Allegiance,1,""
Screaming Shield,RNA,Ravnica Allegiance,1,""
Scuttlegator,RNA,Ravnica Allegiance,2,""
Seraph of the Scales,RNA,Ravnica Allegiance,1,""
Sharktocrab,RNA,Ravnica Allegiance,4,""
Shield Mare,M19,Core Set 2019,1,FOIL
Sigiled Sword of Valeron,M19,Core Set 2019,1,FOIL
Silhana Wayfinder,RNA,Ravnica Allegiance,2,""
Simic Locket,RNA,Ravnica Allegiance,2,""
Sky Tether,RNA,Ravnica Allegiance,1,""
"Slinn Voda, the Rising Deep",DOM,Dominaria,1,FOIL
Smelt-Ward Ignus,RNA,Ravnica Allegiance,1,""
Smothering Tithe,RNA,Ravnica Allegiance,1,""
Snapping Drake,M19,Core Set 2019,1,FOIL
Sphinx of Foresight,RNA,Ravnica Allegiance,1,""
Sphinx of the Guildpact,RNA,Ravnica Allegiance,1,""
Spirit of the Spires,RNA,Ravnica Allegiance,1,""
Stony Strength,RNA,Ravnica Allegiance,2,""
Sunder Shaman,RNA,Ravnica Allegiance,1,""
Swirling Torrent,RNA,Ravnica Allegiance,2,""
Take Vengeance,M19,Core Set 2019,1,FOIL
"Teferi, Hero of Dominaria",DOM,Dominaria,1,""
Temur Sabertooth,FRF,Fate Reforged,1,FOIL
Thalia's Lancers,EMN,Eldritch Moon,2,FOIL
The First Eruption,DOM,Dominaria,1,FOIL
The Haunt of Hightower,PRM-BAB,Buy-A-Box Promos,1,FOIL
Thief of Sanity,PRM-PRE,Prerelease Cards,1,FOIL
Thran Temporal Gateway,DOM,Dominaria,1,FOIL
Thunderheads,GPT,Guildpact,1,FOIL
Tin Street Dodger,RNA,Ravnica Allegiance,1,""
Tithe Taker,RNA,Ravnica Allegiance,1,""
Tower Defense,RNA,Ravnica Allegiance,1,""
Triumph of Gerrard,DOM,Dominaria,1,FOIL
Trollbred Guardian,RNA,Ravnica Allegiance,1,""
Trostani Discordant,GRN,Guilds of Ravnica,1,""
Turntimber Ranger,ZEN,Zendikar,1,FOIL
Unbreakable Formation,RNA,Ravnica Allegiance,1,""
Unclaimed Territory,XLN,Ixalan,1,FOIL
Verix Bladewing,DOM,Dominaria,1,""
Walking Corpse,M19,Core Set 2019,1,FOIL
Wilderness Reclamation,RNA,Ravnica Allegiance,3,""
Woolly Thoctar,PRM-WPN,WPN & Gateway Promos,1,FOIL
Wrecking Beast,RNA,Ravnica Allegiance,1,""
"Zegana, Utopian Speaker",RNA,Ravnica Allegiance,1,""
Zhur-Taa Goblin,RNA,Ravnica Allegiance,1,""
